nqubits,X,H,T,CNOT,CRx,Toffoli
4,47.174089068825914,63.34897959183674,52.122718052738335,78.7701030927835,5490.5,53.51419878296146
5,56.56561546286877,77.6171310629515,58.83214649033571,85.16407061266874,5588.666666666667,61.09785932721712
6,76.29278350515465,113.76699029126213,72.76258992805755,100.98513800424628,5691.333333333333,83.59917355371901
7,113.06855277475516,176.15924426450744,103.40425531914893,134.04581901489118,5734.333333333333,124.92650334075724
8,187.5076219512195,298.90763052208837,162.9119170984456,204.71929824561403,5948.0,199.76833333333335
9,335.92727272727274,550.1397849462365,278.56164383561645,336.05882352941177,6327.0,347.24651162790695
10,631.4792899408284,1062.0,508.5025906735751,599.1123595505618,6972.25,643.222891566265
11,1246.4,2142.222222222222,1001.6,1163.3,8428.666666666666,1244.8
12,2453.4444444444443,4158.285714285715,2037.6666666666667,2237.3333333333335,10979.0,2457.8888888888887
13,4819.571428571428,8183.333333333333,3972.25,4344.285714285715,15973.0,4826.714285714285
14,9566.0,15943.0,7676.0,8563.0,25995.0,9594.0
15,19015.0,31312.0,15186.0,17006.0,48616.0,19048.0
16,38548.0,64976.0,32151.0,35426.0,99642.0,39288.0
17,80355.0,131364.0,77087.0,78427.0,185069.0,83362.0
18,166736.0,269186.0,157828.0,159782.0,362947.0,169425.0
19,341732.0,550010.0,342508.0,460911.0,825148.0,608442.0
20,1.057576e6,1.467197e6,1.013904e6,1.148613e6,1.689492e6,1.342958e6
21,2.909004e6,3.74516e6,2.781762e6,2.93522e6,4.150235e6,3.123504e6
22,6.433834e6,8.2397e6,6.250049e6,6.433932e6,8.934042e6,6.920841e6
23,1.408979e7,1.7656648e7,1.3736371e7,1.4080369e7,1.8958162e7,1.511488e7
24,2.9439029e7,3.6754745e7,2.8809963e7,2.9537671e7,3.9346852e7,3.1556816e7
25,6.0147455e7,7.5234892e7,5.8877084e7,6.0276109e7,7.9838135e7,6.4502888e7
