nqubits,QCBM,QCBM_cuda
4,40522.0,995152.0
5,51872.0,1.300256e6
6,65014.0,1.518794e6
7,82359.0,1.746807e6
8,110487.0,1.945212e6
9,159187.0,2.154289e6
10,250823.0,2.422276e6
11,438766.0,2.604957e6
12,793198.0,2.832517e6
13,1.549517e6,3.047727e6
14,3.149863e6,3.326952e6
15,6.565048e6,3.497275e6
16,1.4369233e7,3.810448e6
17,3.1842008e7,4.016162e6
18,6.6938665e7,5.969258e6
19,1.413201e8,1.2913315e7
20,3.03240553e8,2.636883e7
21,8.97926575e8,5.4661876e7
22,2.457197988e9,1.13626804e8
23,5.504761966e9,2.36485525e8
24,1.1784256937e10,4.92595672e8
25,2.4794075642e10,1.024306198e9
