nqubits,X,H,T,CNOT,CRx,Toffoli
4,49.90982776089159,65.17773237997957,56.52642276422764,94.55415352260778,8443.333333333334,61.962283384301735
5,61.02342158859471,83.65492227979274,66.59244126659857,103.93810032017076,8473.666666666666,70.95487179487179
6,86.12382934443288,118.61826182618262,87.88981288981289,125.37961926091825,8917.666666666666,97.44667370644139
7,128.91986455981942,199.12333333333333,129.5406320541761,167.7391304347826,9015.0,140.47836257309942
8,213.3924528301887,351.37264150943395,209.1633027522936,276.548275862069,9298.0,219.9516129032258
9,381.9113300492611,653.8527607361963,369.6116504854369,461.5786802030457,9802.0,380.3694581280788
10,719.1102941176471,1267.9,691.4391891891892,797.9347826086956,10743.0,701.7847222222222
11,1431.2,2515.4444444444443,1370.9,1492.2,13187.0,1356.6
12,2929.4444444444443,4938.142857142857,2652.1111111111113,2857.0,17508.0,2647.222222222222
13,5785.0,9873.0,5230.5,5593.333333333333,25126.0,5231.0
14,11907.0,19687.0,10822.0,11290.0,38781.0,10744.0
15,24925.0,39187.0,22791.0,22947.0,64015.0,21832.0
16,49799.0,78088.0,45220.0,45464.0,113470.0,43198.0
17,99886.0,156009.0,90426.0,90574.0,214180.0,85872.0
18,200065.0,312090.0,182953.0,180712.0,411119.0,171484.0
19,399039.0,625272.0,365097.0,361680.0,810152.0,345360.0
20,1.327223e6,1.598227e6,1.274595e6,1.307266e6,1.935044e6,1.38755e6
21,3.476005e6,3.873417e6,3.394891e6,3.666821e6,4.28438e6,3.67291e6
22,6.964383e6,7.739711e6,6.801689e6,7.317601e6,8.550116e6,7.227037e6
23,1.3931937e7,1.552438e7,1.3626752e7,1.4767407e7,1.7001563e7,1.4281301e7
24,2.7894172e7,3.1048481e7,2.7270178e7,2.97963e7,3.4004821e7,2.8415916e7
25,5.5706873e7,6.2024603e7,5.452353e7,5.9332364e7,6.7961168e7,5.65892e7
