nqubits,QCBM,QCBM_cuda
4,45216.0,1.501378e6
5,57863.0,1.879078e6
6,72589.0,2.258209e6
7,91123.0,2.607686e6
8,120729.0,2.942906e6
9,167306.0,3.332237e6
10,268188.0,3.744405e6
11,450996.0,4.055018e6
12,834262.0,4.479846e6
13,1.625002e6,4.855551e6
14,3.299318e6,5.218856e6
15,6.833618e6,5.577142e6
16,1.4803852e7,5.928533e6
17,3.2434151e7,6.428847e6
18,6.8134819e7,6.948367e6
19,1.4337054e8,1.3476711e7
20,3.09342346e8,2.6139366e7
21,8.8514152e8,5.358157e7
22,2.352454249e9,1.11082425e8
23,5.248899466e9,2.30752422e8
24,1.1238968592e10,4.80018356e8
25,2.3641010925e10,9.97613046e8
